Timestamps,Emotional,Eye focused
0.68,neutral,Focus
1.45,neutral,Focus
1.8,neutral,Focus
2.12,neutral,Focus
2.46,neutral,Focus
2.8,neutral,Focus
3.12,neutral,Focus
3.45,neutral,Focus
3.79,neutral,Focus
4.13,neutral,Focus
4.45,neutral,Focus
4.8,neutral,Focus
5.12,neutral,Focus
5.47,neutral,Not Focus
5.81,neutral,Focus
6.13,neutral,Focus
6.46,neutral,Not Focus
6.82,neutral,Focus
7.16,neutral,Not Focus
7.57,neutral,Focus
8.0,neutral,Focus
8.35,neutral,Focus
8.79,neutral,Focus
9.12,neutral,Focus
9.45,neutral,Focus
9.78,neutral,Focus
10.12,neutral,Focus
10.45,neutral,Focus
10.79,neutral,Focus
11.09,neutral,Focus
11.52,neutral,Focus
11.9,neutral,Focus
12.22,neutral,Focus
12.56,neutral,Focus
12.86,neutral,Focus
13.2,neutral,Focus
13.51,neutral,Focus
13.89,neutral,Focus
